Project 1:,In Pride of Idleness Pavilion / Foster + Partners
Category:,INSTALLATIONS & STRUCTURES · UNITED KINGDOM
Link:,https://www.archdaily.com/1002045/in-pride-of-idleness-pavilion-foster-plus-partners

Project 2:,Narbo Via Museum / Foster + Partners
Category:,"CULTURAL ARCHITECTURE · NARBONNE, FRANCE"
Link:,https://www.archdaily.com/973483/narbo-via-museum-foster-plus-partners

Project 3:,DY Patil University Centre of Excellence / Foster + Partners
Category:,"EDUCATIONAL ARCHITECTURE · NAVI MUMBAI, INDIA"
Link:,https://www.archdaily.com/996953/dy-patil-university-centre-of-excellence-foster-plus-partners

Project 4:,ICÔNE Collaborative Office Complex / Foster + Partners
Category:,"OFFICES · LUXEMBOURG, LUXEMBOURG"
Link:,https://www.archdaily.com/995519/icone-collaborative-office-complex-foster-plus-partners

Project 5:,Suhe Centre Office Tower / Foster + Partners
Category:,"OFFICES · CHANG NING QU, CHINA"
Link:,https://www.archdaily.com/995102/suhe-centre-office-tower-foster-plus-partners

Project 6:,MOL Headquarters / Foster + Partners
Category:,"OFFICES · BUDAPEST, HUNGARY"
Link:,https://www.archdaily.com/993638/mol-headquarters-foster-plus-partners

Project 7:,425 Park Avenue / Foster + Partners
Category:,"OFFICES · NEW YORK, UNITED STATES"
Link:,https://www.archdaily.com/991290/425-park-avenue-foster-plus-partners

Project 8:,Varso Tower / Foster + Partners
Category:,"OFFICES · WARSAW, POLAND"
Link:,https://www.archdaily.com/991139/varso-tower-foster-plus-partners

Project 9:,50 Hudson Yards / Foster + Partners
Category:,"OFFICES · NEW YORK, UNITED STATES"
Link:,https://www.archdaily.com/990909/50-hudson-yards-foster-plus-partners

Project 10:,Ferring Pharmaceuticals / Foster + Partners
Category:,"OFFICES · KØBENHAVN, DENMARK"
Link:,https://www.archdaily.com/990138/ferring-pharmaceuticals-foster-plus-partners

Project 11:,DJI Sky City / Foster + Partners
Category:,"OFFICES · SHENZHEN, CHINA"
Link:,https://www.archdaily.com/989549/dji-sky-city-foster-plus-partners

Project 12:,Apple Brompton Road / Foster + Partners
Category:,"COMMERCIAL ARCHITECTURE · LONDON, UNITED KINGDOM"
Link:,https://www.archdaily.com/986281/apple-brompton-road-foster-plus-partners

Project 13:,National Bank of Kuwait Headquarters / Foster + Partners
Category:,"OFFICES · KUWAIT CITY, KUWAIT"
Link:,https://www.archdaily.com/985036/national-bank-of-kuwait-headquarters-foster-plus-partners

Project 14:,Ombú Office Building / Foster + Partners
Category:,"OFFICES · MADRID, SPAIN"
Link:,https://www.archdaily.com/984205/ombu-office-building-foster-plus-partners

Project 15:,"Forest Pavilion, The Forestias / Foster + Partners + TK Studio"
Category:,"LANDSCAPE ARCHITECTURE · PAK NAM, THAILAND"
Link:,https://www.archdaily.com/979786/forest-pavilion-the-forestias-tk-studio

Project 16:,Apple Piazza Liberty / Foster + Partners
Category:,"COMMERCIAL ARCHITECTURE · MILANO, ITALY"
Link:,https://www.archdaily.com/978489/apple-piazza-liberty-foster-plus-partners

Project 17:,Apple Al Maryah Island / Foster + Partners
Category:,"COMMERCIAL ARCHITECTURE · ABU DHABI, UNITED ARAB EMIRATES"
Link:,https://www.archdaily.com/977798/apple-al-maryah-island-foster-plus-partners

Project 18:,Datong Art Museum / Foster + Partners
Category:,"CULTURAL ARCHITECTURE · DA TONG SHI, CHINA"
Link:,https://www.archdaily.com/974628/datong-art-museum-foster-plus-partners

Project 19:,Le Dome Winery / Foster + Partners
Category:,"INDUSTRIAL ARCHITECTURE · BORDEAUX, FRANCE"
Link:,https://www.archdaily.com/972012/le-dome-winery-foster-plus-partners

Project 20:,Apple Bagdat Caddesi / Foster + Partners
Category:,"COMMERCIAL ARCHITECTURE · ISTANBUL, TURKEY"
Link:,https://www.archdaily.com/971397/apple-bagdat-caddesi-foster-plus-partners

Project 21:,Apple Tower Theatre / Foster + Partners
Category:,"REFURBISHMENT · LOS ANGELES, UNITED STATES"
Link:,https://www.archdaily.com/965106/apple-tower-theatre-foster-plus-partners

Project 22:,PGA TOUR Headquarters / Foster + Partners
Category:,"OFFICES · PONTE VEDRA BEACH, UNITED STATES"
Link:,https://www.archdaily.com/964094/pga-tour-headquarters-foster-plus-partners

Project 23:,Apple Store Via Del Corso / Foster + Partners
Category:,"COMMERCIAL ARCHITECTURE · ROMA, ITALY"
Link:,https://www.archdaily.com/962709/apple-store-via-del-corso-foster-plus-partners

Project 24:,RCC Headquarters / Foster + Partners
Category:,"OFFICES · YEKATERINBURG, RUSSIA"
Link:,https://www.archdaily.com/960359/rcc-headquarters-foster-plus-partners

Project 25:,House of Wisdom Library and Cultural Center / Foster + Partners
Category:,"CULTURAL ARCHITECTURE · SHARJAH, UNITED ARAB EMIRATES"
Link:,https://www.archdaily.com/958407/house-of-wisdom-library-and-cultural-center-foster-plus-partners

Project 26:,Hankook Technoplex / Foster + Partners
Category:,"OFFICES · SEOUL, SOUTH KOREA"
Link:,https://www.archdaily.com/948211/hankook-technoplex-foster-plus-partners

Project 27:,Apple Marina Bay Sands / Foster + Partners
Category:,"COMMERCIAL ARCHITECTURE · SINGAPORE, SINGAPORE"
Link:,https://www.archdaily.com/947422/apple-marina-bay-sands-foster-plus-partners

Project 28:,Apple Central World Bangkok / Foster + Partners
Category:,"COMMERCIAL ARCHITECTURE · KHET PATHUM WAN, THAILAND"
Link:,https://www.archdaily.com/945648/apple-central-world-bangkok-foster-plus-partners

Project 29:,Apple Store Sanlitun / Foster + Partners
Category:,"COMMERCIAL ARCHITECTURE · CHAOYANG QU, CHINA"
Link:,https://www.archdaily.com/945111/apple-store-sanlitun-foster-plus-partners

Project 30:,Dolunay Villa / Foster + Partners
Category:,"RESIDENTIAL ARCHITECTURE · MUĞLA, TURKEY"
Link:,https://www.archdaily.com/936438/dolunay-villa-foster-plus-partners

Project 31:,Principal Tower / Foster + Partners
Category:,"RESIDENTIAL ARCHITECTURE · LONDON, UNITED KINGDOM"
Link:,https://www.archdaily.com/931796/principal-tower-foster-plus-partners

Project 32:,Park Walk Primary School Playground / Foster + Partners
Category:,"EDUCATIONAL ARCHITECTURE · LONDON, UNITED KINGDOM"
Link:,https://www.archdaily.com/929659/park-walk-primary-school-playground-foster-plus-partners

Project 33:,Gabriela Hearst Store London / Foster + Partners
Category:,"COMMERCIAL ARCHITECTURE · LONDON, UNITED KINGDOM"
Link:,https://www.archdaily.com/929320/gabriela-hearst-store-london-foster-plus-partners

Project 34:,Old Spitalfields Market Holdings / Foster + Partners
Category:,"COMMERCIAL ARCHITECTURE · LONDON, UNITED KINGDOM"
Link:,https://www.archdaily.com/928393/old-spitalfields-market-holdings-foster-plus-partners

Project 35:,30 St Mary Axe Tower / Foster + Partners
Category:,"OFFICES · LONDON, UNITED KINGDOM"
Link:,https://www.archdaily.com/928285/30-st-mary-axe-tower-foster-plus-partners

Project 36:,Comcast Technology Centre / Foster + Partners
Category:,"HOSPITALITY ARCHITECTURE · PHILADELPHIA, UNITED STATES"
Link:,https://www.archdaily.com/927080/comcast-technology-centre-foster-plus-partners

Project 37:,One Hundred East Fifty Third Street ‘The Duplex Residence’ / Foster + Partners
Category:,"RESIDENTIAL ARCHITECTURE · NEW YORK, UNITED STATES"
Link:,https://www.archdaily.com/926162/one-hundred-east-fifty-third-street-the-duplex-residence-foster-plus-partners

Project 38:,Apple Store Fifth Avenue / Foster + Partners
Category:,"COMMERCIAL ARCHITECTURE · NEW YORK, UNITED STATES"
Link:,https://www.archdaily.com/925305/apple-store-fifth-avenue-foster-plus-partners

Project 39:,Haramain High Speed Rail / Foster + Partners
Category:,INFRASTRUCTURE · SAUDI ARABIA
Link:,https://www.archdaily.com/919039/haramain-high-speed-rail-foster-plus-partners

Project 40:,The Norton Museum of Art / Foster + Partners and CBT
Category:,"CULTURAL ARCHITECTURE · WEST PALM BEACH, UNITED STATES"
Link:,https://www.archdaily.com/911461/the-norton-museum-of-art-foster-plus-partners-plus-cbt

Project 41:,"AD Classics: New German Parliament, Reichstag / Foster + Partners"
Category:,"PUBLIC ARCHITECTURE · BERLIN, GERMANY"
Link:,https://www.archdaily.com/775601/ad-classics-new-german-parliament-reichstag-foster-plus-partners

Project 42:,South Beach / Foster + Partners
Category:,URBANISM · SINGAPORE
Link:,https://www.archdaily.com/901016/south-beach-foster-plus-partners

Project 43:,Vatican Chapel / Foster + Partners
Category:,"RELIGIOUS ARCHITECTURE · VENICE, ITALY"
Link:,https://www.archdaily.com/895869/vatican-chapel-foster-plus-partners

Project 44:,Aqwa Corporate / Foster + Partners
Category:,"OFFICES · SANTO CRISTO, BRAZIL"
Link:,https://www.archdaily.com/894667/aqwa-corporate-foster-plus-partners

Project 45:,The Murray Hotel / Foster + Partners
Category:,"HOSPITALITY ARCHITECTURE · HONG KONG, HONG KONG (SAR)"
Link:,https://www.archdaily.com/894626/the-murray-foster-plus-partners

Project 46:,Elephant House / Foster + Partners
Category:,"CULTURAL ARCHITECTURE · COPENHAGEN, DENMARK"
Link:,https://www.archdaily.com/891843/elephant-house-foster-plus-partners

Project 47:,3Beirut / Foster + Partners
Category:,"RESIDENTIAL ARCHITECTURE · BAYRUT, LEBANON"
Link:,https://www.archdaily.com/885029/3beirut-foster-plus-partners

Project 48:,Ocean Terminal Extension / Foster + Partners
Category:,URBANISM · HONG KONG (SAR)
Link:,https://www.archdaily.com/883926/ocean-terminal-extension-foster-plus-partners

Project 49:,Apple Park Visitor Center / Foster + Partners
Category:," · CUPERTINO, UNITED STATES"
Link:,https://www.archdaily.com/884071/apple-park-visitor-center-foster-plus-partners

Project 50:,Bloomberg's European HQ / Foster + Partners
Category:,"OFFICES · LONDON, UNITED KINGDOM"
Link:,https://www.archdaily.com/882263/bloombergs-european-hq-foster-plus-partners

Project 51:,"Apple Store Michigan Avenue, Chicago / Foster + Partners"
Category:,"COMMERCIAL ARCHITECTURE · CHICAGO, UNITED STATES"
Link:,https://www.archdaily.com/882147/apple-store-michigan-avenue-chicago-foster-plus-partners

Project 52:,Bund Finance Centre / Foster + Partners + Heatherwick Studio
Category:,"OFFICES · SHANGHAI, CHINA"
Link:,https://www.archdaily.com/881511/bund-finance-centre-foster-plus-partners-plus-heatherwick-studio

Project 53:,Apple Dubai Mall / Foster + Partners
Category:,COMMERCIAL ARCHITECTURE · UNITED ARAB EMIRATES
Link:,https://www.archdaily.com/870357/apple-dubai-mall-foster-plus-partners

Project 54:,Kulm Eispavilion / Foster + Partners
Category:,"CULTURAL ARCHITECTURE · SAINT MORITZ, SWITZERLAND"
Link:,https://www.archdaily.com/869709/kulum-eispavilion-foster-plus-partners

Project 55:,Wembley National Stadium / Foster + Partners
Category:,"SPORTS ARCHITECTURE · LONDON, UNITED KINGDOM"
Link:,https://www.archdaily.com/867281/wembley-national-stadium-foster-plus-partners

Project 56:,Apple Regent Street / Foster + Partners
Category:,"COMMERCIAL ARCHITECTURE · LONDON, UNITED KINGDOM"
Link:,https://www.archdaily.com/797835/apple-regent-street-foster-plus-partners

Project 57:,Maggie's Cancer Centre Manchester / Foster + Partners
Category:,"HEALTHCARE ARCHITECTURE · MANCHESTER, UNITED KINGDOM"
Link:,https://www.archdaily.com/786370/maggies-cancer-centre-manchester-foster-plus-partners

Project 58:,Chateau Margaux Winery / Foster + Partners
Category:,"INDUSTRIAL ARCHITECTURE · MARGAUX, FRANCE"
Link:,https://www.archdaily.com/642430/chateau-margaux-winery-foster-partners

Project 59:,UAE Pavilion - Milan Expo 2015 / Foster + Partners
Category:,"CULTURAL ARCHITECTURE · MILANO, ITALY"
Link:,https://www.archdaily.com/627599/uae-pavilion-milan-expo-2015-foster-partners

Project 60:,New City Hall in Buenos Aires / Foster + Partners
Category:,"PUBLIC ARCHITECTURE · BUENOS AIRES, ARGENTINA"
Link:,https://www.archdaily.com/615436/new-city-hall-in-buenos-aires-foster-partners

Project 61:,Abu Dhabi Central Market / Foster + Partners
Category:,"REFURBISHMENT · ABU DHABI, UNITED ARAB EMIRATES"
Link:,https://www.archdaily.com/558920/abu-dhabi-central-market-foster-partners

Project 62:,Imperial War Museum / Foster + Partners
Category:,"CULTURAL ARCHITECTURE · LONDON, UNITED KINGDOM"
Link:,https://www.archdaily.com/529022/imperial-war-museum-foster-partners

Project 63:,Yacht Club de Monaco / Foster + Partners
Category:,"HOSPITALITY ARCHITECTURE · MONACO, MONACO"
Link:,https://www.archdaily.com/521040/yacht-club-de-monaco-foster-partners

Project 64:,Yale School of Management / Foster + Partners
Category:,"EDUCATIONAL ARCHITECTURE · NEW HAVEN, UNITED STATES"
Link:,https://www.archdaily.com/466411/yale-school-of-management-foster-partners

Project 65:,Free University's Philology Library / Foster + Partners
Category:,"CULTURAL ARCHITECTURE · BERLIN, GERMANY"
Link:,https://www.archdaily.com/438400/free-university-of-berlin-foster-partners

Project 66:,Campus Luigi Einaudi / Foster + Partners
Category:,"EDUCATIONAL ARCHITECTURE · TORINO, ITALY"
Link:,https://www.archdaily.com/407662/campus-luigi-einaudi-marco-visconti-and-foster-partners

Project 67:,The Bow / Foster + Partners
Category:,"COMMERCIAL ARCHITECTURE · CALGARY, CANADA"
Link:,https://www.archdaily.com/384425/the-bow-foster-partners

Project 68:,Lenbachhaus Museum / Foster + Partners
Category:,"CULTURAL ARCHITECTURE · MÜNCHEN, GERMANY"
Link:,https://www.archdaily.com/370465/lenbachhaus-museum-foster-partners

Project 69:,Queen Alia International Airport / Foster + Partners
Category:,"INFRASTRUCTURE · AMMAN, JORDAN"
Link:,https://www.archdaily.com/349464/queen-alia-international-airport-foster-partners

Project 70:,ME Hotel / Foster and Partners
Category:,"HOSPITALITY ARCHITECTURE · LONDON, UNITED KINGDOM"
Link:,https://www.archdaily.com/338801/me-hotel-foster-and-partners

Project 71:,Faena Aleph Residences / Foster + Partners
Category:,"RESIDENTIAL ARCHITECTURE · BUENOS AIRES, ARGENTINA"
Link:,https://www.archdaily.com/325051/faena-aleph-residences-foster-partners

Project 72:,Flashback: Hearst Tower / Foster + Partners
Category:,"SKYSCRAPERS · NEW YORK, UNITED STATES"
Link:,https://www.archdaily.com/204701/flashback-hearst-tower-foster-and-partners

Project 73:,Jameson House / Foster + Partners
Category:,"MIXED USE ARCHITECTURE · VANCOUVER, CANADA"
Link:,https://www.archdaily.com/204699/jameson-house-foster-partners

Project 74:,McLaren Production Centre / Foster + Partners
Category:,INDUSTRIAL ARCHITECTURE · UNITED KINGDOM
Link:,https://www.archdaily.com/185257/mclaren-production-centre-foster-partners

Project 75:,AD Classics: Hong Kong and Shanghai Bank / Foster + Partners
Category:,"COMMERCIAL ARCHITECTURE · OWEGO, UNITED STATES"
Link:,https://www.archdaily.com/152495/ad-classics-hong-kong-and-shanghai-bank-foster-partners

Project 76:,BMCE Headquarters / Foster + Partners
Category:,"OFFICES · RABAT, MOROCCO"
Link:,https://www.archdaily.com/123045/bmce-headquarters-foster-partners

Project 77:,Faustino Winery / Foster + Partners
Category:,"INDUSTRIAL ARCHITECTURE · GUMIEL DE HIZÁN, SPAIN"
Link:,https://www.archdaily.com/93538/faustino-winery-foster-partners

Project 78:,"Art of Americas Wing at the Museum of Fine Arts, Boston / Foster + Partners"
Category:,"CULTURAL ARCHITECTURE · BOSTON, UNITED STATES"
Link:,https://www.archdaily.com/91885/art-of-americas-wing-at-the-museum-of-fine-arts-boston-foster-partners

Project 79:,Masdar Institute / Foster + Partners
Category:,"EDUCATIONAL ARCHITECTURE · ABU DHABI, UNITED ARAB EMIRATES"
Link:,https://www.archdaily.com/91228/masdar-institute-foster-partners

Project 80:,Sperone Westwater Gallery / Foster + Partners
Category:,"CULTURAL ARCHITECTURE · NEW YORK, UNITED STATES"
Link:,https://www.archdaily.com/78827/sperone-westwater-gallery-foster-partners-2

Project 81:,Winspear Opera House / Foster + Partners
Category:,"CULTURAL ARCHITECTURE · DALLAS, UNITED STATES"
Link:,https://www.archdaily.com/41069/winspear-opera-house-foster-partners

Project 82:,Beijing Airport / Foster + Partners
Category:,"INFRASTRUCTURE · BEIJING, CHINA"
Link:,https://www.archdaily.com/1339/beijing-airport-foster-partners

Project 83:,In Progress: Elephant House / Foster + Partners
Category:,"CULTURAL ARCHITECTURE · COPENHAGEN, DENMARK"
Link:,https://www.archdaily.com/1323/in-progress-elephant-house-foster-partners

